Financial Year,geography_name,geography_code,Age of the Youngest Child in the Family of the Individual,variable_name,value
2019-20,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),27585.0
2019-20,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),170001.0
2019-20,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),582107.0
2020-21,North East,E12000001,0 to 4,In low income (below threshold),0.0
2020-21,North East,E12000001,11 to 15,In low income (below threshold),0.0
2020-21,North East,E12000001,16 to 19,In low income (below threshold),0.0
2020-21,North East,E12000001,5 to 10,In low income (below threshold),0.0
2020-21,North East,E12000001,No children in the family,In low income (below threshold),0.0
2020-21,North West,E12000002,0 to 4,In low income (below threshold),0.0
2020-21,North West,E12000002,11 to 15,In low income (below threshold),0.0
2020-21,North West,E12000002,16 to 19,In low income (below threshold),0.0
2020-21,North West,E12000002,5 to 10,In low income (below threshold),0.0
2020-21,North West,E12000002,No children in the family,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),0.0
2021-22,North East,E12000001,0 to 4,In low income (below threshold),119715.0
2021-22,North East,E12000001,11 to 15,In low income (below threshold),1850.0
2021-22,North East,E12000001,16 to 19,In low income (below threshold),6666.0
2021-22,North East,E12000001,5 to 10,In low income (below threshold),36699.0
2021-22,North East,E12000001,No children in the family,In low income (below threshold),258732.0
2021-22,North West,E12000002,0 to 4,In low income (below threshold),360317.0
2021-22,North West,E12000002,11 to 15,In low income (below threshold),81047.0
2021-22,North West,E12000002,16 to 19,In low income (below threshold),12238.0
2021-22,North West,E12000002,5 to 10,In low income (below threshold),262231.0
2021-22,North West,E12000002,No children in the family,In low income (below threshold),650529.0
2021-22,Yorkshire and The Humber,E12000003,0 to 4,In low income (below threshold),225761.0
2021-22,Yorkshire and The Humber,E12000003,11 to 15,In low income (below threshold),58897.0
2021-22,Yorkshire and The Humber,E12000003,16 to 19,In low income (below threshold),5172.0
2021-22,Yorkshire and The Humber,E12000003,5 to 10,In low income (below threshold),149437.0
2021-22,Yorkshire and The Humber,E12000003,No children in the family,In low income (below threshold),585245.0
