Financial Year,geography_name,geography_code,Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),variable_name,value
2004-05,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2004-05,North West,E12000002,Other Ethnic Group,In low income (below threshold),14040.0
2004-05,North West,E12000002,White,In low income (below threshold),1127365.0
2004-05,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),85205.0
2004-05,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),12346.0
2004-05,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),8206.0
2004-05,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2004-05,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),17674.0
2004-05,Yorkshire and The Humber,E12000003,White,In low income (below threshold),765188.0
2005-06,North East,E12000001,Asian/ Asian British,In low income (below threshold),21126.0
2005-06,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),4359.0
2005-06,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2005-06,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2005-06,North East,E12000001,Other Ethnic Group,In low income (below threshold),10044.0
2005-06,North East,E12000001,White,In low income (below threshold),453514.0
2005-06,North West,E12000002,Asian/ Asian British,In low income (below threshold),117303.0
2005-06,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),42927.0
2005-06,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),12804.0
2005-06,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2005-06,North West,E12000002,Other Ethnic Group,In low income (below threshold),4740.0
2005-06,North West,E12000002,White,In low income (below threshold),1177184.0
2005-06,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),204606.0
2005-06,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),15359.0
2005-06,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),6344.0
2005-06,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2005-06,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),7074.0
2005-06,Yorkshire and The Humber,E12000003,White,In low income (below threshold),747016.0
2006-07,North East,E12000001,Asian/ Asian British,In low income (below threshold),12181.0
2006-07,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),2032.0
2006-07,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2006-07,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2006-07,North East,E12000001,Other Ethnic Group,In low income (below threshold),4480.0
2006-07,North East,E12000001,White,In low income (below threshold),507516.0
2006-07,North West,E12000002,Asian/ Asian British,In low income (below threshold),189571.0
2006-07,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),22501.0
2006-07,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),13489.0
2006-07,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2006-07,North West,E12000002,Other Ethnic Group,In low income (below threshold),12259.0
2006-07,North West,E12000002,White,In low income (below threshold),1168520.0
2006-07,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),196458.0
2006-07,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),10241.0
2006-07,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5154.0
2006-07,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2006-07,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),4249.0
2006-07,Yorkshire and The Humber,E12000003,White,In low income (below threshold),824507.0
2007-08,North East,E12000001,Asian/ Asian British,In low income (below threshold),12880.0
2007-08,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2007-08,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),7038.0
2007-08,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2007-08,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
2007-08,North East,E12000001,White,In low income (below threshold),568376.0
2007-08,North West,E12000002,Asian/ Asian British,In low income (below threshold),162152.0
2007-08,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),31314.0
2007-08,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),9104.0
2007-08,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2007-08,North West,E12000002,Other Ethnic Group,In low income (below threshold),21285.0
2007-08,North West,E12000002,White,In low income (below threshold),1204096.0
2007-08,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),147152.0
2007-08,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),31375.0
2007-08,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),1232.0
2007-08,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2007-08,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),19860.0
2007-08,Yorkshire and The Humber,E12000003,White,In low income (below threshold),811085.0
2008-09,North East,E12000001,Asian/ Asian British,In low income (below threshold),31678.0
2008-09,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),6378.0
2008-09,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),2678.0
2008-09,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2008-09,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
2008-09,North East,E12000001,White,In low income (below threshold),492963.0
2008-09,North West,E12000002,Asian/ Asian British,In low income (below threshold),152594.0
2008-09,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),47911.0
2008-09,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),7341.0
2008-09,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2008-09,North West,E12000002,Other Ethnic Group,In low income (below threshold),11148.0
2008-09,North West,E12000002,White,In low income (below threshold),1029525.0
2008-09,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),173880.0
2008-09,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),37033.0
2008-09,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),12996.0
2008-09,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2008-09,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),0.0
2008-09,Yorkshire and The Humber,E12000003,White,In low income (below threshold),861217.0
2009-10,North East,E12000001,Asian/ Asian British,In low income (below threshold),23639.0
2009-10,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2009-10,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),2150.0
2009-10,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2009-10,North East,E12000001,Other Ethnic Group,In low income (below threshold),9367.0
2009-10,North East,E12000001,White,In low income (below threshold),456451.0
2009-10,North West,E12000002,Asian/ Asian British,In low income (below threshold),144799.0
2009-10,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),40152.0
2009-10,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),23710.0
2009-10,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2009-10,North West,E12000002,Other Ethnic Group,In low income (below threshold),7714.0
2009-10,North West,E12000002,White,In low income (below threshold),1012771.0
2009-10,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),161304.0
2009-10,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),9399.0
2009-10,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),3874.0
2009-10,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2009-10,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),12692.0
2009-10,Yorkshire and The Humber,E12000003,White,In low income (below threshold),848774.0
2010-11,North East,E12000001,Asian/ Asian British,In low income (below threshold),10337.0
2010-11,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),4911.0
2010-11,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),3584.0
2010-11,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2010-11,North East,E12000001,Other Ethnic Group,In low income (below threshold),2525.0
2010-11,North East,E12000001,White,In low income (below threshold),427162.0
2010-11,North West,E12000002,Asian/ Asian British,In low income (below threshold),153066.0
2010-11,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),26039.0
2010-11,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),24913.0
2010-11,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2010-11,North West,E12000002,Other Ethnic Group,In low income (below threshold),27632.0
2010-11,North West,E12000002,White,In low income (below threshold),974422.0
2010-11,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),234278.0
2010-11,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),13026.0
2010-11,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),7555.0
2010-11,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2010-11,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),7118.0
2010-11,Yorkshire and The Humber,E12000003,White,In low income (below threshold),776500.0
2011-12,North East,E12000001,Asian/ Asian British,In low income (below threshold),9359.0
2011-12,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),4505.0
2011-12,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2011-12,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2011-12,North East,E12000001,Other Ethnic Group,In low income (below threshold),18819.0
2011-12,North East,E12000001,White,In low income (below threshold),444556.0
2011-12,North West,E12000002,Asian/ Asian British,In low income (below threshold),166337.0
2011-12,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),40443.0
2011-12,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5504.0
2011-12,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2011-12,North West,E12000002,Other Ethnic Group,In low income (below threshold),32274.0
2011-12,North West,E12000002,White,In low income (below threshold),968823.0
2011-12,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),208375.0
2011-12,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),23351.0
2011-12,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5660.0
2011-12,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2011-12,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),18097.0
2011-12,Yorkshire and The Humber,E12000003,White,In low income (below threshold),703295.0
2012-13,North East,E12000001,Asian/ Asian British,In low income (below threshold),0.0
2012-13,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2012-13,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),3345.0
2012-13,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2012-13,North East,E12000001,Other Ethnic Group,In low income (below threshold),4890.0
2012-13,North East,E12000001,White,In low income (below threshold),435183.0
2012-13,North West,E12000002,Asian/ Asian British,In low income (below threshold),165803.0
2012-13,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),68241.0
2012-13,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),6768.0
2012-13,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2012-13,North West,E12000002,Other Ethnic Group,In low income (below threshold),16545.0
2012-13,North West,E12000002,White,In low income (below threshold),971886.0
2012-13,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),193008.0
2012-13,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),21754.0
2012-13,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),10344.0
2012-13,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2012-13,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),17944.0
2012-13,Yorkshire and The Humber,E12000003,White,In low income (below threshold),763377.0
2013-14,North East,E12000001,Asian/ Asian British,In low income (below threshold),24553.0
2013-14,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2013-14,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),1413.0
2013-14,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2013-14,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
2013-14,North East,E12000001,White,In low income (below threshold),398463.0
2013-14,North West,E12000002,Asian/ Asian British,In low income (below threshold),87044.0
2013-14,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),73223.0
2013-14,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),1827.0
2013-14,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2013-14,North West,E12000002,Other Ethnic Group,In low income (below threshold),26124.0
2013-14,North West,E12000002,White,In low income (below threshold),986883.0
2013-14,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),61255.0
2013-14,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),31919.0
2013-14,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),7892.0
2013-14,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2013-14,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),13507.0
2013-14,Yorkshire and The Humber,E12000003,White,In low income (below threshold),763227.0
2014-15,North East,E12000001,Asian/ Asian British,In low income (below threshold),5669.0
2014-15,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),4032.0
2014-15,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),1446.0
2014-15,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2014-15,North East,E12000001,Other Ethnic Group,In low income (below threshold),8810.0
2014-15,North East,E12000001,White,In low income (below threshold),480818.0
2014-15,North West,E12000002,Asian/ Asian British,In low income (below threshold),162718.0
2014-15,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),32775.0
2014-15,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),9365.0
2014-15,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2014-15,North West,E12000002,Other Ethnic Group,In low income (below threshold),46059.0
2014-15,North West,E12000002,White,In low income (below threshold),1069843.0
2014-15,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),174751.0
2014-15,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),36666.0
2014-15,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5543.0
2014-15,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2014-15,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),11359.0
2014-15,Yorkshire and The Humber,E12000003,White,In low income (below threshold),751033.0
2015-16,North East,E12000001,Asian/ Asian British,In low income (below threshold),9474.0
2015-16,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2015-16,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),8212.0
2015-16,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2015-16,North East,E12000001,Other Ethnic Group,In low income (below threshold),3747.0
2015-16,North East,E12000001,White,In low income (below threshold),452383.0
2015-16,North West,E12000002,Asian/ Asian British,In low income (below threshold),228439.0
2015-16,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),55900.0
2015-16,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),18790.0
2015-16,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2015-16,North West,E12000002,Other Ethnic Group,In low income (below threshold),23675.0
2015-16,North West,E12000002,White,In low income (below threshold),957038.0
2015-16,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),193105.0
2015-16,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),30006.0
2015-16,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),4947.0
2015-16,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2015-16,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),23804.0
2015-16,Yorkshire and The Humber,E12000003,White,In low income (below threshold),744623.0
2016-17,North East,E12000001,Asian/ Asian British,In low income (below threshold),21395.0
2016-17,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),4946.0
2016-17,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),9131.0
2016-17,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2016-17,North East,E12000001,Other Ethnic Group,In low income (below threshold),6832.0
2016-17,North East,E12000001,White,In low income (below threshold),447102.0
2016-17,North West,E12000002,Asian/ Asian British,In low income (below threshold),219988.0
2016-17,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),61441.0
2016-17,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),20758.0
2016-17,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2016-17,North West,E12000002,Other Ethnic Group,In low income (below threshold),15533.0
2016-17,North West,E12000002,White,In low income (below threshold),1041557.0
2016-17,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),73011.0
2016-17,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),41139.0
2016-17,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),15973.0
2016-17,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2016-17,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),12546.0
2016-17,Yorkshire and The Humber,E12000003,White,In low income (below threshold),807646.0
2017-18,North East,E12000001,Asian/ Asian British,In low income (below threshold),37381.0
2017-18,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),11875.0
2017-18,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2017-18,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2017-18,North East,E12000001,Other Ethnic Group,In low income (below threshold),20924.0
2017-18,North East,E12000001,White,In low income (below threshold),438324.0
2017-18,North West,E12000002,Asian/ Asian British,In low income (below threshold),234915.0
2017-18,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),34042.0
2017-18,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5444.0
2017-18,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2017-18,North West,E12000002,Other Ethnic Group,In low income (below threshold),59117.0
2017-18,North West,E12000002,White,In low income (below threshold),1087010.0
2017-18,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),138940.0
2017-18,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),23370.0
2017-18,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),46142.0
2017-18,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2017-18,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),29263.0
2017-18,Yorkshire and The Humber,E12000003,White,In low income (below threshold),846939.0
2018-19,North East,E12000001,Asian/ Asian British,In low income (below threshold),59955.0
2018-19,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),16510.0
2018-19,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),4527.0
2018-19,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2018-19,North East,E12000001,Other Ethnic Group,In low income (below threshold),3198.0
2018-19,North East,E12000001,White,In low income (below threshold),425049.0
2018-19,North West,E12000002,Asian/ Asian British,In low income (below threshold),198352.0
2018-19,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),55439.0
2018-19,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),26744.0
2018-19,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2018-19,North West,E12000002,Other Ethnic Group,In low income (below threshold),15873.0
2018-19,North West,E12000002,White,In low income (below threshold),1035892.0
2018-19,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),299401.0
2018-19,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),50488.0
2018-19,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2018-19,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2018-19,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),16438.0
2018-19,Yorkshire and The Humber,E12000003,White,In low income (below threshold),824730.0
2019-20,North East,E12000001,Asian/ Asian British,In low income (below threshold),60441.0
2019-20,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),11888.0
2019-20,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),5153.0
2019-20,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2019-20,North East,E12000001,Other Ethnic Group,In low income (below threshold),11278.0
2019-20,North East,E12000001,White,In low income (below threshold),575977.0
2019-20,North West,E12000002,Asian/ Asian British,In low income (below threshold),134524.0
2019-20,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),70436.0
2019-20,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),16962.0
2019-20,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2019-20,North West,E12000002,Other Ethnic Group,In low income (below threshold),64734.0
2019-20,North West,E12000002,White,In low income (below threshold),1046429.0
2019-20,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),235317.0
2019-20,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),47107.0
2019-20,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),14708.0
2019-20,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2019-20,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),33458.0
2019-20,Yorkshire and The Humber,E12000003,White,In low income (below threshold),830081.0
2020-21,North East,E12000001,Asian/ Asian British,In low income (below threshold),0.0
2020-21,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2020-21,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2020-21,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2020-21,North East,E12000001,Other Ethnic Group,In low income (below threshold),0.0
2020-21,North East,E12000001,White,In low income (below threshold),0.0
2020-21,North West,E12000002,Asian/ Asian British,In low income (below threshold),0.0
2020-21,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2020-21,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2020-21,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2020-21,North West,E12000002,Other Ethnic Group,In low income (below threshold),0.0
2020-21,North West,E12000002,White,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),0.0
2020-21,Yorkshire and The Humber,E12000003,White,In low income (below threshold),0.0
2021-22,North East,E12000001,Asian/ Asian British,In low income (below threshold),12741.0
2021-22,North East,E12000001,Black/ African/ Caribbean/ Black British,In low income (below threshold),0.0
2021-22,North East,E12000001,Mixed/ Multiple Ethnic Groups,In low income (below threshold),3081.0
2021-22,North East,E12000001,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2021-22,North East,E12000001,Other Ethnic Group,In low income (below threshold),1505.0
2021-22,North East,E12000001,White,In low income (below threshold),406335.0
2021-22,North West,E12000002,Asian/ Asian British,In low income (below threshold),231460.0
2021-22,North West,E12000002,Black/ African/ Caribbean/ Black British,In low income (below threshold),44209.0
2021-22,North West,E12000002,Mixed/ Multiple Ethnic Groups,In low income (below threshold),24722.0
2021-22,North West,E12000002,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2021-22,North West,E12000002,Other Ethnic Group,In low income (below threshold),14712.0
2021-22,North West,E12000002,White,In low income (below threshold),1051259.0
2021-22,Yorkshire and The Humber,E12000003,Asian/ Asian British,In low income (below threshold),201286.0
2021-22,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,In low income (below threshold),36281.0
2021-22,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,In low income (below threshold),11490.0
2021-22,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),In low income (below threshold),0.0
2021-22,Yorkshire and The Humber,E12000003,Other Ethnic Group,In low income (below threshold),7532.0
2021-22,Yorkshire and The Humber,E12000003,White,In low income (below threshold),767923.0
